imo_number,mmsi,name,vessel_class,ship_type,flag,dwt_mt,gross_tonnage,loa_m,beam_m,max_draft_m,cargo_capacity_mt,year_built,source,source_reference,provenance,observed_at,identity_classification
9501710,245827000,ABIS ANTWERPEN,General Cargo Ship,General Cargo Ship,,4200.0,2876.0,90.0,13.0,5.35,,2009.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9399404,245535000,LOIREBORG,General Cargo Ship,General Cargo Ship,,7350.0,4695.0,123.0,14.0,6.5,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9236987,219119000,MAERSK ROSYTH,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,34810.0,22184.0,171.0,27.0,11.82,,2003.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9581095,503737000,BIMA TUJUH,Landing Craft,Landing Craft,,,489.0,46.0,11.0,2.4,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,MATRICO,Tanker,Tanker,,,,125.0,12.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9591741,477351900,PROSPEROUS,Bulk Carrier,Bulk Carrier,,179100.0,92941.0,292.0,45.0,18.322,,2011.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9017551,244215000,HEGEMANN 2,Hopper Dredger,Hopper Dredger,,1217.0,963.0,67.0,12.0,2.31,,1991.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,KLADI,Cargo ship,Cargo ship,,,,86.0,8.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9618745,229095000,SD ROVER,Tug,Tug,,626.0,294.0,28.0,10.0,,,2012.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,AMAZING GRACE,Pleasure craft,Pleasure craft,,,,35.0,7.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9378448,245206000,EURODAM,Passenger (Cruise) Ship,Passenger (Cruise) Ship,,9125.0,86273.0,285.0,36.0,8.0,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
7904578,211209900,ADLER VINETA,Passenger Ship,Passenger Ship,,99.0,527.0,53.0,10.0,1.392,,1981.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9436214,209361000,SAMSKIP INNOVATOR,Container Ship,Container Ship,,9350.0,7852.0,141.0,22.0,7.335,,2011.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9355460,305115000,SPICA J,Container Ship,Container Ship,,11186.0,8246.0,140.0,22.0,7.364,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9333888,215942000,RT ZOE,Tug,Tug,,136.0,343.0,28.0,12.0,,,2006.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9114361,219679000,SIGYN,Tug,Tug,,311.0,485.0,33.0,10.0,5.1,,1996.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9228980,244166000,MAINEBORG,General Cargo Ship,General Cargo Ship,,9150.0,6585.0,134.0,16.0,7.15,,2001.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
7045683,371694000,PRINCIPEADRES,General Cargo Ship,General Cargo Ship,,1208.0,1160.0,,,3.81,,1971.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9248083,636090764,HS COLON,Container Ship,Container Ship,,58399.0,50242.0,282.0,32.0,13.0,,2002.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8820107,215432000,TRENLAND,General Cargo Ship,General Cargo Ship,,4402.0,3826.0,105.0,16.0,5.801,,1989.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9424883,310610000,AZURA,Passenger (Cruise) Ship,Passenger (Cruise) Ship,,8044.0,115055.0,289.0,50.0,8.38,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9333802,228330700,CHANTACO,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,18729.0,11793.0,143.0,23.0,8.89,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,ECLIPS,Cargo ship,Cargo ship,,,,135.0,11.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9313826,246507000,TERSCHELLING,General Cargo Ship,General Cargo Ship,,6000.0,3990.0,111.0,14.0,6.09,,2005.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9327396,212371000,BALTIC FREEDOM,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,37048.0,23337.0,182.0,27.0,10.85,,2006.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9039250,248811000,MSC JOY,Container Ship,Container Ship,,31160.0,30567.0,203.0,32.0,10.55,,1992.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8306486,247228600,MEGA SMERALDA,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,3019.0,34694.0,171.0,34.0,6.51,,1985.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9458951,247293800,EUROCARGO GENOVA,Ro-Ro Cargo Ship,Ro-Ro Cargo Ship,,10780.0,32647.0,200.0,26.0,7.5,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9465306,636092210,MSC RENEE,Container Ship,Container Ship,,140958.0,141635.0,366.0,48.0,16.0,,2012.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,LIZY,Fishing vessel,Fishing vessel,,,,10.0,4.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
,,SOMTRANS 7,Tanker,Tanker,,,,110.0,11.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
,,ODYSSEA,Cargo ship,Cargo ship,,,,67.0,7.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9547336,246668000,ABIS CALAIS,General Cargo Ship,General Cargo Ship,,6050.0,4255.0,115.0,15.0,6.04,,2011.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9045807,205366000,KEMIRA GAS,LPG Tanker,LPG Tanker,,13289.0,10018.0,142.0,21.0,8.2,,1995.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8708608,247041700,FILIPPO LIPPI,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,597.0,1593.0,72.0,16.0,3.754,,1990.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9539078,246171000,SEVERINE,Ro-Ro Cargo Ship,Ro-Ro Cargo Ship,,6600.0,16342.0,152.0,22.0,5.4,,2012.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,THORSEN,Local type,Local type,,,,13.0,4.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9168647,319025300,STOLT COMMITMENT,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,37438.0,23206.0,183.0,32.0,10.718,,2000.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9326665,227689570,MISTRAL,Inland Waterways Tanker,Inland Waterways Tanker,,,,125.0,11.0,4.2,,2005.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9201815,244003000,LADY CHRISTINA,General Cargo Ship,General Cargo Ship,,5375.0,4235.0,108.0,16.0,5.89,,2000.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9151553,232215000,SAND FALCON,Hopper Dredger,Hopper Dredger,,9154.0,6534.0,120.0,19.0,7.78,,1998.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9631955,566796000,APL TEMASEK,Container Ship,Container Ship,,150936.0,151963.0,369.0,51.0,14.5,,2013.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8007133,211442010,WILHELMINE,Tug,Tug,,93.0,207.0,24.0,9.0,2.804,,1980.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9313163,413245000,CHANG HANG FA XIAN,Oil Products Tanker,Oil Products Tanker,,45841.0,29588.0,189.0,32.0,10.2,,2006.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9118496,259372000,CHRISTINA,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,9494.0,6045.0,123.0,18.0,7.214,,1996.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,ISIS,Cargo ship,Cargo ship,,,,135.0,11.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
8325793,232085000,HIGHLAND SPIRIT,Offshore Tug/Supply Ship,Offshore Tug/Supply Ship,,2000.0,1717.0,62.0,14.0,5.6,,1998.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9501875,305533000,PALABORA,General Cargo Ship,General Cargo Ship,,10052.0,11473.0,,,7.8,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9011014,247342000,LAURANA,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,2328.0,10977.0,100.0,20.0,4.792,,1992.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9409613,305810000,PELEUS,General Cargo Ship,General Cargo Ship,,3660.0,2452.0,88.0,13.0,5.498,,2009.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
6923888,211366340,MISTRAL,Tug,Tug,,1.0,276.0,34.0,10.0,2.7,,1969.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9148960,319301000,STOLT CORMORANT,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,5509.0,3818.0,,,4.32,,1999.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9226188,244402000,PRUDENCE,General Cargo Ship,General Cargo Ship,,1780.0,1556.0,82.0,11.0,3.44,,2003.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9298375,269848000,MCT BREITHORN,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,20635.0,12776.0,165.0,24.0,9.55,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9312212,246255000,ENSEMBLE,Container Ship,Container Ship,,9146.0,7642.0,135.0,22.0,7.1,,2005.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9376701,253416000,PALATINE,Ro-Ro Cargo Ship,Ro-Ro Cargo Ship,,14565.0,25593.0,194.0,26.0,7.05,,2009.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9334557,538004214,STI HARMONY,Oil Products Tanker,Oil Products Tanker,,73919.0,40865.0,225.0,32.0,14.37,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
